cell_index,n,k,mu2,rho,controls,hetero,expected_first_stage_f,estimator,n_reps,n_failed,median_bias,mean_bias,mad,rmse,iqr_sd,coverage,median_ci_width,se_ratio,median_first_stage_f
0,500,5,25.0,0.5,0,True,6.0,OLS,2000,0,0.4248399432497629,0.425210697552186,0.4248399432497629,0.4272324292092967,0.0432818204825706,0.0,0.1609081586566687,0.946101405757306,5.820985042766331
0,500,5,25.0,0.5,0,True,6.0,2SLS,2000,0,0.0747490537110796,0.0639212863322094,0.1524999553167505,0.2278834653336945,0.2102557578542208,0.9185,0.8066588260703096,0.9763536054636364,5.820985042766331
0,500,5,25.0,0.5,0,True,6.0,JIVE1,2000,0,-0.2473070853493978,-0.2873425545295946,0.2551114969262474,0.4559545098166876,0.2724801766451922,0.898,0.9171865868403216,0.8566194377464548,5.820985042766331
0,500,5,25.0,0.5,0,True,6.0,JIVE2,2000,0,-0.2370639988095902,-0.2777356338826486,0.2473602902022684,0.4537380931095902,0.274770032165867,0.9065,0.9238140490222916,0.8556188425779113,5.820985042766331
0,500,5,25.0,0.5,0,True,6.0,UJIVE1,2000,0,-0.035024194711454,-0.0948701695946482,0.1926481239150833,0.563741922973848,0.2862948161218789,0.962,1.0634250494565132,0.9452758090444532,5.820985042766331
0,500,5,25.0,0.5,0,True,6.0,UJIVE2,2000,0,-0.0362002284936165,-0.0958538713002564,0.192586478801127,0.5947658989863868,0.2853863067161962,0.9625,1.0610220990089476,0.9461422590274498,5.820985042766331
1,500,5,25.0,0.5,2,True,6.0,OLS,2000,0,0.4234058138694763,0.4248820257525308,0.4234058138694763,0.4270301820475453,0.0418212289549951,0.0,0.1607061578875854,0.9779048574757724,5.772434330122243
1,500,5,25.0,0.5,2,True,6.0,2SLS,2000,0,0.07994669737864,0.0631827867783524,0.1563624624703401,0.2277481720069825,0.2083991311598381,0.928,0.8018500354676652,0.9791700578926272,5.772434330122243
1,500,5,25.0,0.5,2,True,6.0,JIVE1,2000,0,-0.3449963297001668,-0.4004707029544234,0.3450220004437561,0.5304109822138314,0.3024752481177178,0.773,0.9556164352551848,0.8039974006998567,5.772434330122243
1,500,5,25.0,0.5,2,True,6.0,JIVE2,2000,0,-0.3337275952212056,-0.3899287870690244,0.3339769733726958,0.5262387537920676,0.3061802873361434,0.7965,0.9668927472825148,0.803640753601784,5.772434330122243
1,500,5,25.0,0.5,2,True,6.0,UJIVE1,2000,0,-0.0795905732459168,-0.1821789746689455,0.2083673154693629,2.734557525721867,0.3332442725826665,0.9765,1.1870923565845088,0.9065310640163408,5.772434330122243
1,500,5,25.0,0.5,2,True,6.0,UJIVE2,2000,0,-0.0779992236828567,-0.4297149732164605,0.2088815824917573,15.972248639513271,0.3335681551019598,0.977,1.1869908021734812,0.905573377989967,5.772434330122243
2,500,5,100.0,0.5,0,True,21.0,OLS,2000,0,0.3691310081466898,0.3702584851576679,0.3691310081466898,0.3723887597960892,0.040261357611889,0.0,0.1528306577342666,0.9660224271898198,20.711825607822348
2,500,5,100.0,0.5,0,True,21.0,2SLS,2000,0,0.0203227119844965,0.013379052158094,0.0790768710320612,0.1135974472623798,0.1124300594358744,0.951,0.4316966847496853,0.9771504027251812,20.711825607822348
2,500,5,100.0,0.5,0,True,21.0,JIVE1,2000,0,-0.0664997311982955,-0.076955466134031,0.0912529984285768,0.144687432922697,0.120608791646792,0.9215,0.4475023773835506,0.9442381052194008,20.711825607822348
2,500,5,100.0,0.5,0,True,21.0,JIVE2,2000,0,-0.0538099199149151,-0.0640003090085647,0.0868850019989598,0.1394664856599323,0.1223539524797922,0.933,0.4503272895022031,0.9366458314064966,20.711825607822348
2,500,5,100.0,0.5,0,True,21.0,UJIVE1,2000,0,-0.0086973409463629,-0.0180644252039545,0.081899964306614,0.1252722061806061,0.1237308202743694,0.9555,0.4642320305677285,0.9548218574492052,20.711825607822348
2,500,5,100.0,0.5,0,True,21.0,UJIVE2,2000,0,-0.0088223514020874,-0.0180771519157442,0.0815350146277426,0.1249147288704023,0.1236718541225397,0.956,0.4634171861045512,0.953600359366802,20.711825607822348
3,500,5,100.0,0.5,2,True,21.0,OLS,2000,0,0.3721404330249398,0.3721648220131677,0.3721404330249398,0.374251214178887,0.0387006720033605,0.0,0.1530134817384294,1.0061716283980295,20.665851507158756
3,500,5,100.0,0.5,2,True,21.0,2SLS,2000,0,0.0191928036916926,0.0157441430610737,0.0736473496750093,0.1139135041989388,0.1065612469868691,0.9445,0.4309289406554517,1.0291229035082914,20.665851507158756
3,500,5,100.0,0.5,2,True,21.0,JIVE1,2000,0,-0.0969714435602985,-0.104099806962667,0.1081220187151646,0.1636030747426902,0.1161254600905207,0.895,0.4522239541147734,0.9910304331748456,20.665851507158756
3,500,5,100.0,0.5,2,True,21.0,JIVE2,2000,0,-0.0814571184224642,-0.0881100021384085,0.0989075244975702,0.15533071364594,0.1168045981270424,0.914,0.455764167844673,0.9929814017865548,20.665851507158756
3,500,5,100.0,0.5,2,True,21.0,UJIVE1,2000,0,-0.0188153596042879,-0.0260683160430184,0.0808289897717691,0.1308898084037112,0.1174655526810392,0.9565,0.4746690014858059,1.0283506344609623,20.665851507158756
3,500,5,100.0,0.5,2,True,21.0,UJIVE2,2000,0,-0.0191406357926317,-0.0261309922387893,0.0806010854932258,0.1304063707070875,0.1170284960130134,0.9555,0.4737930701543963,1.0302863748887747,20.665851507158756
4,500,5,300.0,0.5,0,True,61.0,OLS,2000,0,0.2798902330620272,0.2804251219069152,0.2798902330620272,0.2828008364619693,0.0371664597631138,0.0,0.1376731268127118,0.9426774607884352,60.67153784795619
4,500,5,300.0,0.5,0,True,61.0,2SLS,2000,0,0.0085641664906341,0.00818504986508,0.0448345491130979,0.0673846869298284,0.0654204473125982,0.939,0.2533054345633054,0.9853627497222563,60.67153784795619
4,500,5,300.0,0.5,0,True,61.0,JIVE1,2000,0,-0.0208763177071415,-0.0221267771986982,0.0465484954374646,0.0720259669578072,0.0676523317899375,0.938,0.2562872050058783,0.9640716164145828,60.67153784795619
4,500,5,300.0,0.5,0,True,61.0,JIVE2,2000,0,-0.0071071542543175,-0.0083498298736374,0.0457149901204958,0.0697746383573525,0.0680482147543544,0.943,0.2578790333868302,0.9644160732207488,60.67153784795619
4,500,5,300.0,0.5,0,True,61.0,UJIVE1,2000,0,-0.0013069595401178,-0.0019054062963494,0.0453775664640492,0.0688121152119868,0.0673309510490477,0.947,0.2596821598924638,0.9815049810298456,60.67153784795619
4,500,5,300.0,0.5,0,True,61.0,UJIVE2,2000,0,-0.0014745601423337,-0.0019086234088986,0.0452902082488281,0.0685889449657706,0.0673084770325085,0.947,0.2588415442699652,0.9786544164259096,60.67153784795619
5,500,5,300.0,0.5,2,True,61.0,OLS,2000,0,0.2802768249973899,0.2795503870556501,0.2802768249973899,0.2818922110520826,0.0355757014111438,0.0,0.1376412505697664,0.9845913463107936,60.42298624360869
5,500,5,300.0,0.5,2,True,61.0,2SLS,2000,0,0.0086836408928264,0.0072781476876664,0.0448794150845249,0.0669098729259399,0.065916888219985,0.942,0.2520960353792764,0.973262957795461,60.42298624360869
5,500,5,300.0,0.5,2,True,61.0,JIVE1,2000,0,-0.0310669117817287,-0.0331436275146,0.0514406234932197,0.0764636758760403,0.067263006802031,0.9205,0.2566343566478171,0.9709556545109262,60.42298624360869
5,500,5,300.0,0.5,2,True,61.0,JIVE2,2000,0,-0.013553773457636,-0.015640405977563,0.0485217952652254,0.0717123046918078,0.0682946985866599,0.939,0.2586195233141308,0.963685202036448,60.42298624360869
5,500,5,300.0,0.5,2,True,61.0,UJIVE1,2000,0,-0.0045237236405665,-0.0059972146906056,0.0462462590301747,0.069377483160196,0.0683675385703906,0.9485,0.260755080019997,0.9706076494526772,60.42298624360869
5,500,5,300.0,0.5,2,True,61.0,UJIVE2,2000,0,-0.0045140398735618,-0.0060137165186536,0.0463949259521166,0.0691980576177352,0.0676855685364695,0.949,0.2600330755645625,0.9776724727767464,60.42298624360869
6,500,20,25.0,0.5,0,True,2.25,OLS,2000,0,0.4215236755925601,0.4236257570755599,0.4215236755925601,0.4256102102961588,0.0416000498011915,0.0,0.1594801327610673,0.9756136772686388,2.215121611935901
6,500,20,25.0,0.5,0,True,2.25,2SLS,2000,0,0.1983386073664055,0.2022591895795062,0.2009734980030549,0.2513078288919951,0.1427614810005797,0.682,0.5653811526480136,1.0078488959182714,2.215121611935901
6,500,20,25.0,0.5,0,True,2.25,JIVE1,2000,0,-0.5034919565438278,-0.532198760750286,0.5034919565438278,0.5955164964097488,0.2539024510187702,0.232,0.7791950043162708,0.7809880851895931,2.215121611935901
6,500,20,25.0,0.5,0,True,2.25,JIVE2,2000,0,-0.482101262335711,-0.5109739233944688,0.482101262335711,0.5820866113294008,0.2627432301821754,0.3235,0.8050226033380322,0.7797254000986248,2.215121611935901
